fund_name,source_count,sources,source_types
2000 Riverside Capital Appreciation Fund,1,Oregon Treasury,LP-Disclosed
2003 Riverside Capital Appreciation Fund,1,Oregon Treasury,LP-Disclosed
"2024 Golden Bay, L.P.",1,CalPERS,LP-Disclosed
"2SP I, L.P.",1,CalPERS,LP-Disclosed
3i Eurofund V,1,Louisiana Teachers,LP-Disclosed
"57 Stars Global Opportunities Fund 2 (CalPERS), LLC",1,CalPERS,LP-Disclosed
"57 Stars Global Opportunities Fund, LLC",1,CalPERS,LP-Disclosed
A&M Capital Partners,1,Oregon Treasury,LP-Disclosed
A&M Capital Partners Europe I,1,Oregon Treasury,LP-Disclosed
A&M Capital Partners II,1,Oregon Treasury,LP-Disclosed
A&M Capital Partners III,1,Oregon Treasury,LP-Disclosed
"AACP AP Investors, L.P.",1,CalPERS,LP-Disclosed
AACP China Growth Investors,1,CalPERS,LP-Disclosed
AACP India Investors B,1,CalPERS,LP-Disclosed
AACP India Investors C,1,CalPERS,LP-Disclosed
AACP India Venture Investors A,1,CalPERS,LP-Disclosed
"ABRY Advanced Securities Fund II, L.P.",1,Florida SBA,LP-Disclosed
"ABRY Advanced Securities Fund III, LP",1,Florida SBA,LP-Disclosed
"ABRY Partners VII, L.P.",1,Florida SBA,LP-Disclosed
"ABRY Partners VIII, L.P.",1,Florida SBA,LP-Disclosed
"ABRY Senior Equity Partners III, L.P.",1,Florida SBA,LP-Disclosed
"ABRY Senior Equity Partners IV, L.P.",1,Florida SBA,LP-Disclosed
"ABRY Senior Equity Partners V, L.P.",1,Florida SBA,LP-Disclosed
Accel-KKR Capital Partners V,1,Florida SBA,LP-Disclosed
"Accel-KKR Capital Partners VI, LP",1,Florida SBA,LP-Disclosed
"Accel-KKR Capital Partners VII, LP",1,CalPERS,LP-Disclosed
Accel-KKR Company LLC,1,WSIB,LP-Disclosed
"Accel-KKR Structured Capital Partners II, LP",1,Florida SBA,LP-Disclosed
"ACON Equity Partners III, L.P.",1,Massachusetts PRIM,LP-Disclosed
ACON Equity Partners IV,1,Oregon Treasury,LP-Disclosed
"ACON Equity Partners IV, LP",1,CalSTRS,LP-Disclosed
"Acrew Capital Fund III, L.P.",1,CalPERS,LP-Disclosed
"Acrew Diversify Capital Fund II, L.P.",1,CalPERS,LP-Disclosed
"Actis Global 4, L.P.",1,WSIB,LP-Disclosed
Advent Global Technology,1,Oregon Treasury,LP-Disclosed
Advent Global Technology II,1,Oregon Treasury,LP-Disclosed
Advent Global Technology II Limited Partnership,1,CalPERS,LP-Disclosed
Advent Global Technology L.P.,1,CalSTRS,LP-Disclosed
Advent International Global Private Equity VIII-D,1,Florida SBA,LP-Disclosed
Advent International GPE IX,1,Oregon Treasury,LP-Disclosed
Advent International GPE IX Limited Partnership,2,CalPERS | Florida SBA,LP-Disclosed
"Advent International GPE IX, L.P.",3,CalSTRS | Massachusetts PRIM | WSIB,LP-Disclosed
"Advent International GPE V-D, L.P.",1,CalPERS,LP-Disclosed
"Advent International GPE V-H, L.P.",1,Massachusetts PRIM,LP-Disclosed
Advent International GPE VI A,1,Oregon Treasury,LP-Disclosed
Advent International GPE VI L.P.,2,Massachusetts PRIM | WSIB,LP-Disclosed
Advent International GPE VI LP,1,CalSTRS,LP-Disclosed
"Advent International GPE VI-A, L.P.",1,CalPERS,LP-Disclosed
"Advent International GPE VI-D, L.P.",1,Florida SBA,LP-Disclosed
Advent International GPE VII C,1,Oregon Treasury,LP-Disclosed
"Advent International GPE VII, L.P.",1,Massachusetts PRIM,LP-Disclosed
"Advent International GPE VII-B, L.P.",1,WSIB,LP-Disclosed
"Advent International GPE VII-C, L.P.",1,CalPERS,LP-Disclosed
"Advent International GPE VII-D, L.P.",1,Florida SBA,LP-Disclosed
Advent International GPE VIII-B Limited Partnership,1,CalPERS,LP-Disclosed
"Advent International GPE VIII-B, L.P.",2,Massachusetts PRIM | WSIB,LP-Disclosed
Advent International GPE VIII-D L.P.,1,CalSTRS,LP-Disclosed
Advent International GPE X,1,Oregon Treasury,LP-Disclosed
Advent International GPE X Limited Partnership,2,CalPERS | WSIB,LP-Disclosed
Advent LatAm PE Fund VII SCSP,1,CalSTRS,LP-Disclosed
"Advent Latin American Private Equity Fund IV, L.P.",1,WSIB,LP-Disclosed
"Advent Latin American Private Equity Fund V, L.P.",1,WSIB,LP-Disclosed
Advent Latin American Private Equity Fund VI C,1,Oregon Treasury,LP-Disclosed
"Advent Latin American Private Equity Fund VI-H, L.P.",1,WSIB,LP-Disclosed
Advent Latin American Private Equity Fund VII,1,Oregon Treasury,LP-Disclosed
Advent Latin American Private Equity Fund VII SCSp,1,WSIB,LP-Disclosed
AEP IV OPERF Co-Investments,1,Oregon Treasury,LP-Disclosed
AEW Senior Housing Investors II LP,1,Louisiana Teachers,LP-Disclosed
AEW Senior Housing Investors III LP,1,Louisiana Teachers,LP-Disclosed
Affinity Asia Pacific Fund III,1,Oregon Treasury,LP-Disclosed
"Affinity Asia Pacific Fund III, L.P.",2,CalSTRS | WSIB,LP-Disclosed
"Affinity Asia Pacific Fund IV, L.P.",1,WSIB,LP-Disclosed
Affinity Asia Pacific Fund V (NO.2) L.P.,1,CalSTRS,LP-Disclosed
"Affinity Asia Pacific Fund V, L.P.",1,WSIB,LP-Disclosed
AgIS Separate Account,1,Louisiana Teachers,LP-Disclosed
AH Annex Fund,1,a16z Firm Disclosure,Market Intelligence
AH Fund I,1,a16z Firm Disclosure,Market Intelligence
AH Fund II,1,a16z Firm Disclosure,Market Intelligence
AH Fund III,1,a16z Firm Disclosure,Market Intelligence
AH Fund III Parallel,1,a16z Firm Disclosure,Market Intelligence
AH Fund IV,1,a16z Firm Disclosure,Market Intelligence
AH Fund IV Parallel,1,a16z Firm Disclosure,Market Intelligence
AH Fund V,1,a16z Firm Disclosure,Market Intelligence
AH Fund V Parallel,1,a16z Firm Disclosure,Market Intelligence
Alchemy Investment Plan (Hawthorne I),1,Massachusetts PRIM,LP-Disclosed
Alchemy Special Opportunities Fund III,1,CalSTRS,LP-Disclosed
Alchemy Special Opportunities Fund IV L.P.,1,CalSTRS,LP-Disclosed
Alpine Investors IX,1,Oregon Treasury,LP-Disclosed
Alpine Investors VIII,1,Oregon Treasury,LP-Disclosed
AlpInvest C Fund II LP,1,CalSTRS,LP-Disclosed
"AlpInvest C Fund, L.P.",1,CalSTRS,LP-Disclosed
"AlpInvest Co-Investment Fund (Onshore) VII, L.P.",1,CalSTRS,LP-Disclosed
"AlpInvest Co-Investment Fund (Onshore) VIII, L.P.",1,CalSTRS,LP-Disclosed
"AlpInvest Secondaries Fund (onshore) VII, L.P.",1,CalPERS,LP-Disclosed
"Alta Communications IX, L.P.",1,Massachusetts PRIM,LP-Disclosed
Amberbrook IX LP,1,CalPERS,LP-Disclosed
"American Industrial Partners Capital Fund VI, L.P.",1,Florida SBA,LP-Disclosed
"American Industrial Partners Capital Fund VII, L.P.",2,Florida SBA | Massachusetts PRIM,LP-Disclosed
"American Industrial Partners Capital Fund VIII, L.P.",1,CalPERS,LP-Disclosed
"American Securities Partners V, L.P.",1,Massachusetts PRIM,LP-Disclosed
"American Securities Partners VI, L.P.",2,Louisiana Teachers | Massachusetts PRIM,LP-Disclosed
American Securities Partners VII LP,1,Louisiana Teachers,LP-Disclosed
"American Securities Partners VII, L.P.",1,Massachusetts PRIM,LP-Disclosed
"American Securities Partners VIII, L.P.",1,Massachusetts PRIM,LP-Disclosed
"AMZL, LP",1,CalPERS,LP-Disclosed
"Apax Europe IV-A, L.P.",1,WSIB,LP-Disclosed
"Apax Europe V-A, L.P.",1,WSIB,LP-Disclosed
"Apax Europe VI - A, L.P.",1,CalSTRS,LP-Disclosed
Apax Europe VII,2,CalSTRS | Oregon Treasury,LP-Disclosed
"Apax Europe VII-A, L.P.",1,WSIB,LP-Disclosed
Apax IX,1,Oregon Treasury,LP-Disclosed
Apax IX USD L.P.,1,CalSTRS,LP-Disclosed
"Apax IX USD, L.P.",1,WSIB,LP-Disclosed
Apax VIII,1,WSIB,LP-Disclosed
Apax VIII USD,1,Oregon Treasury,LP-Disclosed
"Apax VIII-B, L.P.",1,Florida SBA,LP-Disclosed
Apax X USD L.P.,1,CalSTRS,LP-Disclosed
"Apax X, L.P.",1,WSIB,LP-Disclosed
"Apax XI, L.P.",1,WSIB,LP-Disclosed
"Apollo Credit Liquidity Fund, L.P.",1,Florida SBA,LP-Disclosed
Apollo European Principal Finance Fund II,1,Louisiana Teachers,LP-Disclosed
Apollo European Principal Finance Fund III,1,Louisiana Teachers,LP-Disclosed
"Apollo European Principal Finance Fund, L.P.",2,CalPERS | Louisiana Teachers,LP-Disclosed
Apollo Fund IX,1,UC Regents,LP-Disclosed
Apollo Fund X,1,UC Regents,LP-Disclosed
Apollo Hybrid Value Fund II LP,1,CalSTRS,LP-Disclosed
Apollo Hybrid Value Fund LP,1,Louisiana Teachers,LP-Disclosed
"Apollo Investment Fund IV, L.P.",3,CalPERS | Florida SBA | Massachusetts PRIM,LP-Disclosed
Apollo Investment Fund IX,1,Oregon Treasury,LP-Disclosed
Apollo Investment Fund IX LP,1,Louisiana Teachers,LP-Disclosed
"Apollo Investment Fund IX, L.P",1,CalPERS,LP-Disclosed
"Apollo Investment Fund IX, L.P.",2,CalSTRS | Florida SBA,LP-Disclosed
"Apollo Investment Fund V, L.P.",2,Florida SBA | Louisiana Teachers,LP-Disclosed
Apollo Investment Fund VI,2,Oregon Treasury | UC Regents,LP-Disclosed
Apollo Investment Fund VI L.P.,1,Florida SBA,LP-Disclosed
"Apollo Investment Fund VI, L.P.",3,CalPERS | CalSTRS | Louisiana Teachers,LP-Disclosed
Apollo Investment Fund VII,1,Oregon Treasury,LP-Disclosed
