fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
"Apollo Investment Fund IV, L.P.",1998,"$150,000,000","$154,085,315","$254,289,011","$254,325,586",8.5%,,CalPERS,2026-02-18
Blackstone Communications Partners I L.P.,2000,"$100,000,000","$111,242,017","$136,083,476","$136,113,715",6.5%,,CalPERS,2026-02-18
"CalPERS Corporate Partners, LLC",2001,"$500,000,000","$533,507,990","$831,997,162","$831,997,403",9.3%,,CalPERS,2026-02-18
CVC European Equity Partners III LP,2001,"$200,000,000","$234,497,567","$595,574,634","$611,577,185",41.0%,,CalPERS,2026-02-18
"Yucaipa Corporate Initiatives Fund I, L.P.",2001,"$200,000,000","$288,655,697","$222,325,508","$225,426,524",-3.7%,,CalPERS,2026-02-18
"California Community Venture Fund, LLC",2003,"$100,000,000","$100,067,655","$88,478,382","$91,341,893",-1.5%,,CalPERS,2026-02-18
"Carlyle Europe Partners II, L.P.",2003,"$42,191,699","$93,186,079","$149,009,090","$149,097,307",19.7%,,CalPERS,2026-02-18
"TPG Partners IV, L.P.",2003,"$200,000,000","$225,811,661","$428,892,245","$429,325,067",15.3%,,CalPERS,2026-02-18
Permira Europe III,2004,"$126,989,866","$126,989,866","$219,524,851","$219,589,375",26.6%,,CalPERS,2026-02-18
"Advent International GPE V-D, L.P.",2005,"$81,099,236","$77,609,736","$187,471,024","$187,471,024",42.7%,,CalPERS,2026-02-18
"Birch Hill Equity Partners (US) III, LP",2005,"$126,371,169","$142,696,482","$271,382,079","$271,382,079",12.1%,,CalPERS,2026-02-18
Bridgepoint Europe III 'D' LP,2005,"$194,508,785","$191,932,333","$228,563,948","$234,739,266",2.4%,,CalPERS,2026-02-18
"Carlyle Asia Growth Partners III, L.P.",2005,"$75,000,000","$84,766,869","$78,177,512","$78,177,512",-1.4%,,CalPERS,2026-02-18
CVC European Equity Partners IV (D) L.P.,2005,"$325,959,862","$406,865,452","$726,781,649","$727,193,325",17.2%,,CalPERS,2026-02-18
"Apollo Investment Fund VI, L.P.",2006,"$520,000,000","$866,357,105","$1,218,417,644","$1,227,283,506",8.2%,,CalPERS,2026-02-18
"ArcLight Energy Partners Fund III, L.P.",2006,"$200,000,000","$212,312,180","$314,980,433","$314,980,433",8.6%,,CalPERS,2026-02-18
Blackstone Capital Partners V L.P.,2006,"$38,400,000","$794,822,847","$1,222,737,110","$1,222,737,110",7.8%,,CalPERS,2026-02-18
"California Emerging Ventures IV, LLC",2006,"$463,143,016","$489,333,698","$872,675,299","$911,912,686",11.7%,,CalPERS,2026-02-18
"China Privatization Fund (Del), L.P.",2006,"$100,000,000","$69,317,995","$133,415,962","$133,415,962",13.7%,,CalPERS,2026-02-18
"Clearwater Capital Partners Fund III, L.P.",2006,"$150,000,000","$150,000,000","$157,031,855","$163,741,798",1.3%,,CalPERS,2026-02-18
"First Reserve Fund XI, L.P.",2006,"$500,000,000","$570,151,741","$390,767,883","$390,767,883",-9.5%,,CalPERS,2026-02-18
"Francisco Partners II, L.P.",2006,"$175,000,000","$174,005,517","$286,882,216","$287,593,657",10.4%,,CalPERS,2026-02-18
KKR 2006 Fund L.P.,2006,"$400,000,000","$595,407,506","$940,703,667","$940,703,667",8.2%,,CalPERS,2026-02-18
"Lime Rock Partners IV, LP",2006,"$43,000,000","$47,917,078","$139,501,029","$139,583,277",14.6%,,CalPERS,2026-02-18
"Madison Dearborn Capital Partners V, L.P.",2006,"$300,000,000","$351,612,894","$544,926,216","$544,926,216",7.5%,,CalPERS,2026-02-18
Permira IV L.P.2,2006,"$281,647,594","$354,598,629","$501,970,036","$562,432,370",8.2%,,CalPERS,2026-02-18
"Sacramento Private Equity Partners, L.P.",2006,"$537,857,143","$527,013,573","$1,004,701,814","$1,047,679,293",11.6%,,CalPERS,2026-02-18
"Thomas H. Lee Equity Fund VI, L.P",2006,"$240,000,000","$402,954,172","$556,367,009","$556,367,009",7.0%,,CalPERS,2026-02-18
"TPG Biotechnology Partners II, L.P.",2006,"$70,000,000","$71,952,784","$86,914,132","$86,914,132",2.9%,,CalPERS,2026-02-18
"TPG Partners V, L.P.",2006,"$600,000,000","$811,329,685","$1,007,256,750","$1,007,256,750",3.7%,,CalPERS,2026-02-18
"57 Stars Global Opportunities Fund, LLC",2007,"$390,500,000","$414,697,200","$557,770,250","$569,672,365",5.9%,,CalPERS,2026-02-18
"AACP AP Investors, L.P.",2007,"$14,108,080","$15,007,205","$16,976,917","$16,976,917",2.0%,,CalPERS,2026-02-18
AACP China Growth Investors,2007,"$50,000,000","$52,040,183","$83,160,811","$83,502,092",7.9%,,CalPERS,2026-02-18
AACP India Investors B,2007,"$5,000,000","$5,317,745","$21,092,084","$21,145,671",12.8%,,CalPERS,2026-02-18
AACP India Venture Investors A,2007,"$5,000,000","$5,065,536","$5,653,594","$5,722,391",1.9%,,CalPERS,2026-02-18
"Apollo Special Opportunities Managed Account, L.P.",2007,"$800,000,000","$800,000,000","$1,092,675,222","$1,098,274,001",3.8%,,CalPERS,2026-02-18
"ArcLight Energy Partners Fund IV, L.P.",2007,"$250,000,000","$255,794,752","$388,365,992","$388,847,672",12.6%,,CalPERS,2026-02-18
