fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"ACON Equity Partners IV, LP",2016,50000000,56254688,37352252,43176025,8.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
Advent Global Technology L.P.,2020,100000000,98499996,13500000,133492600,10.03,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Advent International GPE IX, L.P.",2019,300000000,286499686,83342471,392061650,14.75,CalSTRS,2026-02-18,"FYE June 30, 2025"
Advent International GPE VI LP,2008,234769890,271014851,523944248,18602577,15.29,CalSTRS,2026-02-18,"FYE June 30, 2025"
Advent International GPE VIII-D L.P.,2016,150000000,150000000,210870400,102948822,15.76,CalSTRS,2026-02-18,"FYE June 30, 2025"
Advent LatAm PE Fund VII SCSP,2021,150000000,100875000,22500000,97962111,7.41,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Affinity Asia Pacific Fund III, L.P.",2007,150000000,142997806,204533445,1558248,8.96,CalSTRS,2026-02-18,"FYE June 30, 2025"
Affinity Asia Pacific Fund V (NO.2) L.P.,2018,200000000,168356848,48789793,151154600,6.71,CalSTRS,2026-02-18,"FYE June 30, 2025"
Alchemy Special Opportunities Fund III,2014,54813968,48154620,55648514,18316466,7.53,CalSTRS,2026-02-18,"FYE June 30, 2025"
Alchemy Special Opportunities Fund IV L.P.,2019,92498571,65229779,16058134,85881376,15.78,CalSTRS,2026-02-18,"FYE June 30, 2025"
AlpInvest C Fund II LP,2021,1000000000,792983602,53977384,1110672601,17.65,CalSTRS,2026-02-18,"FYE June 30, 2025"
"AlpInvest C Fund, L.P.",2018,725000000,776339574,467437047,956313743,14.88,CalSTRS,2026-02-18,"FYE June 30, 2025"
"AlpInvest Co-Investment Fund (Onshore) VII, L.P.",2017,150000000,164414037,105223589,185822462,13.55,CalSTRS,2026-02-18,"FYE June 30, 2025"
"AlpInvest Co-Investment Fund (Onshore) VIII, L.P.",2021,250000000,236918730,2843591,310213511,11.05,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Apax Europe VI - A, L.P.",2005,293462363,309873423,617814890,10982133,12.68,CalSTRS,2026-02-18,"FYE June 30, 2025"
Apax Europe VII,2007,446062792,518532420,656871733,1969913,4.35,CalSTRS,2026-02-18,"FYE June 30, 2025"
Apax IX USD L.P.,2017,300000000,325152555,435471852,185292343,17.83,CalSTRS,2026-02-18,"FYE June 30, 2025"
Apax X USD L.P.,2020,250000000,249483541,43225034,282686028,9.88,CalSTRS,2026-02-18,"FYE June 30, 2025"
Apollo Hybrid Value Fund II LP,2021,250000000,240036575,49081757,244189363,11.25,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Apollo Investment Fund IX, L.P.",2019,300000000,300616854,172061478,281789208,15.41,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Apollo Investment Fund VI, L.P.",2006,250000000,239549952,399272363,4261990,8.57,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Apollo Investment Fund VII, L.P.",2008,350000000,302084155,622033109,,22.53,CalSTRS,2026-02-18,"FYE June 30, 2025"
