fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"ABRY Partners VII, L.P.",2011,75000000.0,70905043.0,125939118.0,,1.78,0.148,Florida SBA,2020-Q2,2025-02-19
"ABRY Partners VIII, L.P.",2014,75000000.0,76032038.0,95940316.0,,1.26,0.108,Florida SBA,2020-Q2,2025-02-19
"Accel-KKR Structured Capital Partners II, LP",2014,25000000.0,23533608.0,15894398.0,16754946.0,1.39,0.178,Florida SBA,2020-Q2,2025-02-19
Accel-KKR Capital Partners V,2015,50000000.0,30583587.0,14686182.0,26960834.0,1.36,0.2189999999999999,Florida SBA,2020-Q2,2025-02-19
"Accel-KKR Capital Partners VI, LP",2019,45000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"Advent International GPE VI-D, L.P.",2008,58000000.0,58000000.0,113132516.0,8132864.0,2.09,0.1669999999999999,Florida SBA,2020-Q2,2025-02-19
"Advent International GPE VII-D, L.P.",2012,102335815.0,93277480.0,86268566.0,69098289.0,1.67,0.127,Florida SBA,2020-Q2,2025-02-19
Advent International Global Private Equity VIII-D,2016,150000000.0,140550002.0,0.0,189063732.0,1.35,0.141,Florida SBA,2020-Q2,2025-02-19
Advent International GPE IX Limited Partnership,2019,150000000.0,36750000.0,0.0,42773695.0,1.16,,Florida SBA,2020-Q2,2025-02-19
"American Industrial Partners Capital Fund VI, L.P.",2015,50000000.0,55748004.0,12952120.0,53680633.0,1.2,0.083,Florida SBA,2020-Q2,2025-02-19
"American Industrial Partners Capital Fund VII, L.P.",2019,75000000.0,3974412.0,835.0,3344735.0,0.84,,Florida SBA,2020-Q2,2025-02-19
"Apax VIII-B, L.P.",2012,157584000.0,168455153.0,253494572.0,,1.5,0.1369999999999999,Florida SBA,2020-Q2,2025-02-19
"Apollo Investment Fund IV, L.P.",1997,250000000.0,255492548.0,387190065.0,,1.52,0.068,Florida SBA,2020-Q2,2025-02-19
"Apollo Investment Fund V, L.P.",2000,150000000.0,139648802.0,371551048.0,,2.66,0.3879999999999999,Florida SBA,2020-Q2,2025-02-19
Apollo Investment Fund VI L.P.,2005,200000000.0,180181073.0,306469710.0,,1.7,0.095,Florida SBA,2020-Q2,2025-02-19
"Apollo Investment Fund VII, L.P.",2007,200000000.0,168245182.0,327068247.0,,1.94,0.23,Florida SBA,2020-Q2,2025-02-19
