fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
"Apollo Investment Fund IV, L.P.",Apollo Investment,1998.0,150000000.0,154085315.0,254289011.0,36575.0,254325586.0,1.650550449924446,1.6503130814250533,0.00023736849939269035,0.085,CalPERS,"June 30, 2025"
Blackstone Communications Partners I L.P.,Blackstone Communications,2000.0,100000000.0,111242017.0,136083476.0,30239.0,136113715.0,1.2235818683510566,1.2233100376092605,0.00027183074179606075,0.065,CalPERS,"June 30, 2025"
"CalPERS Corporate Partners, LLC",CalPERS Corporate,2001.0,500000000.0,533507990.0,831997162.0,241.0,831997403.0,1.559484428714929,1.559483976987861,4.5172706785515995e-07,0.09300000000000001,CalPERS,"June 30, 2025"
CVC European Equity Partners III LP,CVC European,2001.0,200000000.0,234497567.0,595574634.0,16002551.0,611577185.0,2.608032112333174,2.5397902486553305,0.06824186367784361,0.41,CalPERS,"June 30, 2025"
"Yucaipa Corporate Initiatives Fund I, L.P.",Yucaipa Corporate,2001.0,200000000.0,288655697.0,222325508.0,3101016.0,225426524.0,0.7809529704172096,0.7702100125188245,0.010742957898385079,-0.037000000000000005,CalPERS,"June 30, 2025"
"California Community Venture Fund, LLC",California Community,2003.0,100000000.0,100067655.0,88478382.0,2863511.0,91341893.0,0.9128013742302645,0.8841856242159367,0.028615750014327805,-0.015,CalPERS,"June 30, 2025"
"Carlyle Europe Partners II, L.P.",Carlyle Europe,2003.0,42191699.0,93186079.0,149009090.0,88217.0,149097307.0,1.5999954993277483,1.5990488235909142,0.0009466757368340393,0.19699999999999998,CalPERS,"June 30, 2025"
"TPG Partners IV, L.P.",TPG Partners,2003.0,200000000.0,225811661.0,428892245.0,432822.0,429325067.0,1.9012528631105547,1.8993361241871385,0.0019167389234163597,0.153,CalPERS,"June 30, 2025"
Permira Europe III,Permira Europe,2004.0,126989866.0,126989866.0,219524851.0,64524.0,219589375.0,1.729188177897597,1.7286800743612092,0.0005081035363876989,0.266,CalPERS,"June 30, 2025"
"Advent International GPE V-D, L.P.",Advent International,2005.0,81099236.0,77609736.0,187471024.0,0.0,187471024.0,2.415560645638583,2.415560645638583,0.0,0.42700000000000005,CalPERS,"June 30, 2025"
"Birch Hill Equity Partners (US) III, LP",Birch Hill,2005.0,126371169.0,142696482.0,271382079.0,0.0,271382079.0,1.9018133817762934,1.9018133817762934,0.0,0.121,CalPERS,"June 30, 2025"
Bridgepoint Europe III 'D' LP,Bridgepoint Europe,2005.0,194508785.0,191932333.0,228563948.0,6175318.0,234739266.0,1.2230313795018581,1.1908569256020036,0.032174453899854384,0.024,CalPERS,"June 30, 2025"
"Carlyle Asia Growth Partners III, L.P.",Carlyle Asia,2005.0,75000000.0,84766869.0,78177512.0,0.0,78177512.0,0.9222649476412772,0.9222649476412772,0.0,-0.013999999999999999,CalPERS,"June 30, 2025"
CVC European Equity Partners IV (D) L.P.,CVC European,2005.0,325959862.0,406865452.0,726781649.0,411676.0,727193325.0,1.7873066425900423,1.7862948191531387,0.0010118234369036574,0.172,CalPERS,"June 30, 2025"
"Apollo Investment Fund VI, L.P.",Apollo Investment,2006.0,520000000.0,866357105.0,1218417644.0,8865862.0,1227283506.0,1.4166023443646831,1.406368848328427,0.010233496036256319,0.08199999999999999,CalPERS,"June 30, 2025"
"ArcLight Energy Partners Fund III, L.P.",ArcLight Energy,2006.0,200000000.0,212312180.0,314980433.0,0.0,314980433.0,1.4835721294934656,1.4835721294934656,0.0,0.086,CalPERS,"June 30, 2025"
