fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
FFI,Founders Fund,2005,50000000.0,,,,,7.8,7.7,,0.36,Founders Fund (manual),2026-02-18
FFII,Founders Fund,2007,227000000.0,,,,,18.7,18.6,,0.31,Founders Fund (manual),2026-02-18
FFIII,Founders Fund,2010,250000000.0,,,,,9.9,6.0,,0.25,Founders Fund (manual),2026-02-18
FFIV,Founders Fund,2011,625000000.0,,,,,10.2,6.2,,0.33,Founders Fund (manual),2026-02-18
FFV,Founders Fund,2014,1100000000.0,,,,,4.0,2.9,,0.27,Founders Fund (manual),2026-02-18
FFVI,Founders Fund,2017,1400000000.0,,,,,3.1,0.03,,0.24,Founders Fund (manual),2026-02-18
FFVII,Founders Fund,2020,1500000000.0,,,,,1.5,,,0.13,Founders Fund (manual),2026-02-18
FFVIII,Founders Fund,2023,979000000.0,,,,,1.3,,,0.47,Founders Fund (manual),2026-02-18
FF Growth I,Founders Fund,2020,1700000000.0,,,,,1.2,,,0.07,Founders Fund (manual),2026-02-18
FF Growth II,Founders Fund,2023,3400000000.0,,,,,1.0,,,0.07,Founders Fund (manual),2026-02-18
