fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
"ActisEmerging Markets 3, L.P.",ActisEmerging Markets,2007,200.0,230.9,210.8,1.6,212.4,0.92,0.9129493287137289,0.00692940666955392,-0.022000000000000002,PSERS,March 2024
"Actis Global 4, L.P.",Actis Global,2011,100.0,121.3,102.4,51.6,154.0,1.27,0.8441879637262985,0.4253915910964551,0.055999999999999994,PSERS,March 2024
"Adams Capital Management, L.P.",Adams Capital,1997,12.5,12.5,22.7,0.2,22.9,1.83,1.8159999999999998,0.016,0.449,PSERS,March 2024
Aisling Capital II L.P.,Aisling Capital,2005,50.0,58.9,57.8,3.1,60.9,1.03,0.9813242784380305,0.052631578947368425,0.006,PSERS,March 2024
"Aisling Capital III, L.P.",Aisling Capital,2008,50.0,56.4,134.2,0.3,134.5,2.38,2.379432624113475,0.005319148936170213,0.265,PSERS,March 2024
"Aisling Capital IV, L.P.",Aisling Capital,2015,100.0,125.3,68.8,93.9,162.7,1.3,0.5490822027134876,0.7494014365522746,0.069,PSERS,March 2024
"Apax Digital II, L.P.",Apax Digital,2021,135.0,33.7,,31.4,,0.93,,0.9317507418397625,-0.125,PSERS,March 2024
"Apax Digital, L.P.","Apax Digital,",2017,100.0,109.4,43.2,122.0,165.2,1.51,0.39488117001828155,1.1151736745886653,0.183,PSERS,March 2024
"Apax Europe VII, L.P.",Apax Europe,2007,273.6,296.8,367.0,3.1,370.1,1.25,1.2365229110512128,0.010444743935309973,0.043,PSERS,March 2024
"Apax X USD, L.P.",Apax X,2019,150.0,137.1,16.5,156.5,173.0,1.26,0.12035010940919037,1.1415025528811087,0.139,PSERS,March 2024
"Apollo Investment Fund IX, L.P.",Apollo Investment,2018,225.0,211.2,94.7,225.8,320.5,1.52,0.44839015151515155,1.069128787878788,0.2,PSERS,March 2024
"Apollo Investment Fund VIII, L.P.",Apollo Investment,2013,220.0,216.3,249.6,65.4,315.0,1.46,1.1539528432732316,0.3023578363384189,0.091,PSERS,March 2024
"Avenue Special Situations Fund VI, L.P.",Avenue Special,2010,75.0,76.9,77.7,6.9,84.60000000000001,1.1,1.010403120936281,0.08972691807542263,0.02,PSERS,March 2024
"Bain Capital Asia Fund II, L.P.",Bain Capital,2012,100.0,120.1,184.8,34.2,219.0,1.82,1.5387177352206496,0.28476269775187346,0.16899999999999998,PSERS,March 2024
"Bain Capital Asia Fund III-A, L.P.",Bain Capital,2016,130.0,139.1,179.0,91.3,270.3,1.94,1.286843997124371,0.6563623292595255,0.235,PSERS,March 2024
"Bain Capital Asia Fund IV-B, L.P.",Bain Capital,2019,150.0,155.8,110.2,147.2,257.4,1.65,0.7073170731707317,0.9448010269576379,0.292,PSERS,March 2024
"Bain Capital Fund XI-A, L.P.",Bain Capital,2014,100.0,118.4,169.7,60.5,230.2,1.94,1.433277027027027,0.5109797297297297,0.21600000000000003,PSERS,March 2024
"Bain Capital Fund XII-A, L.P.",Bain Capital,2017,125.0,141.0,83.6,170.9,254.5,1.81,0.5929078014184397,1.2120567375886526,0.196,PSERS,March 2024
"Baring Asia Private Equity Fund IV, L.P.",Baring Asia,2007,300.0,334.6,539.4,-1.0,538.4,1.61,1.6120741183502687,-0.0029886431560071725,0.08800000000000001,PSERS,March 2024
"Blue Point Capital Partners II (B), L.P.",Blue Point,2006,100.0,97.2,265.8,1.9,267.7,2.75,2.734567901234568,0.019547325102880656,0.20800000000000002,PSERS,March 2024
"Blue Point Capital Partners III (B), L.P.",Blue Point,2013,60.0,62.9,87.0,21.1,108.1,1.72,1.383147853736089,0.33545310015898255,0.161,PSERS,March 2024
"Blue Point Capital Partners IV, L.P.",Blue Point,2018,70.0,77.5,21.1,87.5,108.6,1.4,0.27225806451612905,1.1290322580645162,0.11699999999999999,PSERS,March 2024
"Bridgepoint Development Capital III, L.P.",Bridgepoint Development,2016,106.5,90.3,157.8,121.1,278.9,3.09,1.7475083056478407,1.3410852713178294,0.384,PSERS,March 2024
