fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"Warburg, Pincus Equity Partners, L.P.",1998,200000000.0,200000000.0,332323507.0,,1.67,0.1041,Louisiana Teachers,2019-Q4,2025-02-19
"Pharos Capital Partners, L.P.",1999,25000000.0,24846250.0,20849657.0,,0.96,-0.0054,Louisiana Teachers,2019-Q4,2025-02-19
Heartland Industrial Partners,2000,100000000.0,97212563.0,43516292.0,,0.45,-0.07719999999999999,Louisiana Teachers,2019-Q4,2025-02-19
"Irving Place Capital Partners II, LP",2000,75000000.0,67035400.0,116321299.0,,1.62,0.12390000000000001,Louisiana Teachers,2019-Q4,2025-02-19
"Warburg, Pincus International Partners, L.P.",2000,75000000.0,75000000.0,129387328.0,,1.74,0.0873,Louisiana Teachers,2019-Q4,2025-02-19
"Apollo Investment Fund V, L.P.",2001,100000000.0,100513538.0,260133903.0,,2.58,0.3616,Louisiana Teachers,2019-Q4,2025-02-19
"Apollo Investment Fund VI, L.P.",2005,75000000.0,86347308.0,135146297.0,,1.57,0.0867,Louisiana Teachers,2019-Q4,2025-02-19
"Carlyle Partners IV, L.P.",2005,50000000.0,48052603.0,100480061.0,,2.0,0.131,Louisiana Teachers,2019-Q4,2025-02-19
"Pharos Capital Partners II-A, L.P.",2005,25000000.0,25000000.0,15973535.0,,1.17,0.0217,Louisiana Teachers,2019-Q4,2025-02-19
"Warburg, Pincus Private Equity IX, L.P.",2005,100000000.0,96750000.0,165859509.0,,1.76,0.0973,Louisiana Teachers,2019-Q4,2025-02-19
3i Eurofund V,2006,88453000.0,107815117.0,146834590.0,,2.02,0.0989,Louisiana Teachers,2019-Q4,2025-02-19
KKR 2006 Fund,2006,100000000.0,101455935.0,158590730.0,,1.8,0.0933,Louisiana Teachers,2019-Q4,2025-02-19
"Lindsay Goldberg & Bessemer II, L.P.",2006,75000000.0,66574945.0,102015646.0,,1.43,0.0711,Louisiana Teachers,2019-Q4,2025-02-19
"TPG Partners V, L.P.",2006,75000000.0,76283863.0,103173276.0,,1.38,0.0496,Louisiana Teachers,2019-Q4,2025-02-19
