fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"ACON Equity Partners III, L.P.",2013,50000000.0,52968768.0,21058307.0,33483790.0,0.007573537682605638,1.0297029562779334,Massachusetts PRIM,2020-Q1,2025-02-19
"Advent International GPE IX, L.P.",2019,260000000.0,57199999.00000001,,51204844.99999999,-0.16235079555567866,0.895189613552266,Massachusetts PRIM,2020-Q1,2025-02-19
"Advent International GPE V-H, L.P.",2005,60000000.0,57687452.99999999,139115283.0,2757541.0,0.4859821821800163,2.4593358975304387,Massachusetts PRIM,2020-Q1,2025-02-19
Advent International GPE VI L.P.,2008,134856358.82033667,138908780.57873666,258969164.35390216,14133795.7178832,0.15667481120692964,1.9660597331137348,Massachusetts PRIM,2020-Q1,2025-02-19
"Advent International GPE VII, L.P.",2012,181334098.99126554,170168596.54596555,169886205.0936832,101759292.64711599,0.12121801268201296,1.596331539746953,Massachusetts PRIM,2020-Q1,2025-02-19
"Advent International GPE VIII-B, L.P.",2016,225000000.0,208575001.0,,219682933.0,0.026645424198181805,1.0532562960409624,Massachusetts PRIM,2020-Q1,2025-02-19
Alchemy Investment Plan (Hawthorne I),2002,36587391.562615,37678381.10318667,53116473.05314729,912811.53317223,0.14431553158207808,1.433959820045187,Massachusetts PRIM,2020-Q1,2025-02-19
"Alta Communications IX, L.P.",2003,50000000.0,47500000.0,36778121.0,1335066.0,-0.029945216186524036,0.8023828842105263,Massachusetts PRIM,2020-Q1,2025-02-19
"American Industrial Partners Capital Fund VII, L.P.",2019,75000000.0,1499051.76,835.47,174229.0,-0.9210945222872129,0.11678347250664647,Massachusetts PRIM,2020-Q1,2025-02-19
"American Securities Partners V, L.P.",2008,75000000.0,82593004.30999999,152439710.26,327639.0,0.20203104773490543,1.8496402998807442,Massachusetts PRIM,2020-Q1,2025-02-19
"American Securities Partners VI, L.P.",2011,150000000.0,160767193.0,241738439.14000002,66100695.00000001,0.20522170893128397,1.914813143126782,Massachusetts PRIM,2020-Q1,2025-02-19
"American Securities Partners VII, L.P.",2016,175000000.0,150174306.0,22632691.0,94654401.99999999,-0.1197855039439285,0.7810063926648012,Massachusetts PRIM,2020-Q1,2025-02-19
"American Securities Partners VIII, L.P.",2019,150000000.0,22066905.0,,14045993.0,-0.9595573227732659,,Massachusetts PRIM,2020-Q1,2025-02-19
"Apollo Investment Fund IV, L.P.",1998,50000000.0,51120766.029999994,84514931.0,55911.0,0.08476522276176815,1.6543344039557226,Massachusetts PRIM,2020-Q1,2025-02-19
"Ascent Venture Partners V, L.P.",2012,12000000.0,12056798.38,7527561.13,9446314.14,0.07265662250802413,1.4078260857506353,Massachusetts PRIM,2020-Q1,2025-02-19
"Ascent Venture Partners VI, L.P.",2015,14150000.0,12169000.0,,12859116.06,0.021767051236099146,1.0567109918645738,Massachusetts PRIM,2020-Q1,2025-02-19
"Austin Ventures IX, L.P.",2006,15000000.0,15485712.569999998,19011859.48,1420417.0,0.04649424515778823,1.3194275941542934,Massachusetts PRIM,2020-Q1,2025-02-19
"Austin Ventures VII, L.P.",1999,33000000.0,33000000.0,26587323.105987,56521.0,-0.028062310314172046,0.8073892153329395,Massachusetts PRIM,2020-Q1,2025-02-19
"Austin Ventures VIII, L.P.",2001,27666667.0,29409481.61,46539100.753467,978873.0,0.06851432089783896,1.6157365295860786,Massachusetts PRIM,2020-Q1,2025-02-19
"Berkshire Fund IX Co-Investment Fund, L.P.",2018,20000000.0,9031536.0,,6177242.0,-0.4249772911846455,0.6839636137197482,Massachusetts PRIM,2020-Q1,2025-02-19
"Berkshire Fund IX, L.P.",2017,150000000.0,91392627.0,14407375.0,81761700.0,0.030236708887485274,1.052262946769218,Massachusetts PRIM,2020-Q1,2025-02-19
"Berkshire Fund VI, L.P.",2002,30000000.0,29711740.36,83807011.60973701,5003148.0,0.24964566494775597,2.989059494114972,Massachusetts PRIM,2020-Q1,2025-02-19
"Berkshire Fund VII, LP",2006,48000000.0,49343040.0,102611924.542658,2078614.0,0.17361968211441653,2.1216880545393635,Massachusetts PRIM,2020-Q1,2025-02-19
"Berkshire Fund VIII, L.P.",2011,100000000.0,107150174.00000001,102015982.00000001,62878803.00000001,0.12591789571604173,1.5389128999454542,Massachusetts PRIM,2020-Q1,2025-02-19
"Blackstone Capital Partners IV, L.P.",2003,75000000.0,87464448.91,211140521.48999998,1846262.0,0.36298180260344004,2.4351240549078534,Massachusetts PRIM,2020-Q1,2025-02-19
"Blackstone Capital Partners V, L.P.",2006,125000000.0,131267070.66000001,207799729.66,5617841.0,0.07550664087491127,1.6258271749872537,Massachusetts PRIM,2020-Q1,2025-02-19
"Blackstone Capital Partners VI, L.P.",2011,100000000.0,107686749.6,96165078.93,54883006.0,0.09180007074812556,1.402661752639621,Massachusetts PRIM,2020-Q1,2025-02-19
"Blackstone Capital Partners VII, L.P.",2016,225000000.0,195114493.94,20348155.82,197834456.0,0.08619389118344523,1.1182286226624134,Massachusetts PRIM,2020-Q1,2025-02-19
"Bridgepoint Europe IV, L.P.",2008,92757307.25776885,88991998.89068301,122692831.80803484,13369691.433348399,0.09609658395969649,1.5289298469238932,Massachusetts PRIM,2020-Q1,2025-02-19
"Candover 2005 Fund, L.P.",2005,85080193.85960549,87297978.976442,41275686.2739859,1.16845,-0.12265543473001224,0.47281378018584425,Massachusetts PRIM,2020-Q1,2025-02-19
"Candover 2008 Fund US No. 1, L.P.",2008,20578436.005886678,22286507.241231207,3205264.220966,1.16845,-0.7176697160441312,0.1438208937238084,Massachusetts PRIM,2020-Q1,2025-02-19
"Carlyle Partners V, L.P.",2007,125000000.0,129632833.0,213770366.0,15356765.0,0.13521292124336584,1.7675084752641332,Massachusetts PRIM,2020-Q1,2025-02-19
Castile Ventures III,2006,10000000.0,10000000.0,2792742.46,88744.0,-0.33865837624043216,0.288148646,Massachusetts PRIM,2020-Q1,2025-02-19
"Catalyst Investors III, L.P.",2012,25500000.0,29188200.380000003,16507769.64,24052047.0,0.08037197091907489,1.3895963475635151,Massachusetts PRIM,2020-Q1,2025-02-19
"Catalyst Investors IV, L.P.",2015,65000000.0,61016440.99999999,13550367.0,87337444.0,0.1852148393417636,1.6534528947697884,Massachusetts PRIM,2020-Q1,2025-02-19
"Centerbridge Capital Partners II, L.P.",2011,150000000.0,221028807.0,161708909.0,28458344.0,-0.05452796813612612,0.8603731594135602,Massachusetts PRIM,2020-Q1,2025-02-19
"Centerbridge Capital Partners III, L.P.",2015,175000000.0,143165386.0,61275322.0,130539519.0,0.1411812113440141,1.3398129698752743,Massachusetts PRIM,2020-Q1,2025-02-19
"Centerbridge Capital Partners, LP",2007,50000000.0,78929176.0,134911783.0,5613728.0,0.19287836934442823,1.780400076645929,Massachusetts PRIM,2020-Q1,2025-02-19
"Charlesbank Equity Fund IX, L.P.",2018,130000000.0,43335528.0,2087334.0,29249812.0,-0.27028161737261874,0.7231282840259844,Massachusetts PRIM,2020-Q1,2025-02-19
"Charlesbank Equity Fund IX, L.P. - Overage Program",2018,20000000.0,8033743.0,,8225774.0,0.018022578463970443,1.023903054902304,Massachusetts PRIM,2020-Q1,2025-02-19
"Charlesbank Equity Fund VI, L.P.",2005,48000000.0,54025668.28,84064986.05,3791163.0,0.10478859486886624,1.6261927311045195,Massachusetts PRIM,2020-Q1,2025-02-19
