fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
Sequoia Capital (Legacy Funds),1999,96577636.0,96424375.0,299356876.0,182070471.0,4.99,0.17300000000000001,UC Regents,2024-Q2,2025-02-19
Blackstone Capital Partners IV,2003,50000000.0,59700657.0,143201771.0,41871.0,2.4,0.361,UC Regents,2024-Q2,2025-02-19
Water Street Healthcare Partners,2005,38353044.0,48618034.0,70101574.0,132423.0,1.44,0.094,UC Regents,2024-Q2,2025-02-19
"Blackstone Capital Partners V, L.P.",2006,120000000.0,134958118.0,212429560.0,91418.0,1.57,0.077,UC Regents,2024-Q2,2025-02-19
Madison Dearborn Capital Partners V,2006,100000000.0,131120233.0,195624089.0,19733.0,1.49,0.075,UC Regents,2024-Q2,2025-02-19
Apollo Investment Fund VI,2006,50000000.0,67624299.0,99572526.0,849326.0,1.48,0.086,UC Regents,2024-Q2,2025-02-19
Olympus Growth Fund V,2008,75460000.0,98408616.0,182554705.0,564.0,1.86,0.159,UC Regents,2024-Q2,2025-02-19
Sankaty Credit Opportunities IV,2008,525000.0,99750000.0,148115768.0,5079.0,1.48,0.11800000000000001,UC Regents,2024-Q2,2025-02-19
H.I.G. Bayside II,2008,30000000.0,39449235.0,59434139.0,2031187.0,1.56,0.136,UC Regents,2024-Q2,2025-02-19
FountainVest China Growth Capital Fund,2008,25000000.0,28320343.0,38872946.0,46185.0,1.37,0.067,UC Regents,2024-Q2,2025-02-19
Olympus V -AIG Secondary,2009,22540000.0,31208848.0,61068036.0,168.0,1.96,0.18100000000000002,UC Regents,2024-Q2,2025-02-19
SG Growth Partners I,2009,20000000.0,32110820.0,55091491.0,139567.0,1.72,0.132,UC Regents,2024-Q2,2025-02-19
Khosla Ventures Seed,2009,17142857.0,17139862.0,3563960.0,22587982.0,1.53,0.038,UC Regents,2024-Q2,2025-02-19
H.I.G. Capital Partners IV,2009,4500000.0,7173827.0,15499884.0,389216.0,2.21,0.327,UC Regents,2024-Q2,2025-02-19
