fund_name,canonical_gp,vintage_year,vintage_source,net_irr,tvpi,dpi,capital_contributed,fund_category,source,reporting_period
ARCH Venture Fund VI L.P.,ARCH Venture Partners,2000,inferred,0.0252,1.2559,1.25,30004283,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund VII L.P.,ARCH Venture Partners,2006,inferred,0.3792,5.0006,4.64,40000000,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund VIII L.P.,ARCH Venture Partners,2009,inferred,0.2229,3.9358,2.26,40000000,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund IX L.P.,ARCH Venture Partners,2012,inferred,0.2860,2.7233,1.46,100000000,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund X L.P.,ARCH Venture Partners,2015,inferred,0.3482,2.1937,0.01,91500000,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund XI L.P.,ARCH Venture Partners,2017,inferred,0.2617,1.3763,0.00,83326080,US VC - Deep Science,UTIMCO,2023-02-28
ARCH Venture Fund XII L.P.,ARCH Venture Partners,2020,inferred,-0.0016,0.9989,0.00,15767270,US VC - Deep Science,UTIMCO,2023-02-28
Austin Ventures IV-A L.P.,Austin Ventures,,unknown,0.7314,8.4044,8.40,5008592,US VC - Texas,UTIMCO,2023-02-28
Austin Ventures V L.P.,Austin Ventures,1999,inferred,0.3188,1.9755,1.98,15002000,US VC - Texas,UTIMCO,2023-02-28
Austin Ventures VI L.P.,Austin Ventures,2001,inferred,-0.0789,0.6317,0.63,21164850,US VC - Texas,UTIMCO,2023-02-28
Austin Ventures VII L.P.,Austin Ventures,2004,inferred,-0.0281,0.8072,0.81,20000000,US VC - Texas,UTIMCO,2023-02-28
Austin Ventures VIII L.P.,Austin Ventures,2007,inferred,0.0684,1.6309,1.63,17210100,US VC - Texas,UTIMCO,2023-02-28
Austin Ventures X L.P.,Austin Ventures,2012,inferred,0.1136,1.8730,1.79,25472620,US VC - Texas,UTIMCO,2023-02-28
Forerunner Builders I L.P.,Forerunner Ventures,2020,inferred,0.4010,4.5701,0.00,14364000,US VC - Consumer,UTIMCO,2023-02-28
Forerunner Partners III L.P.,Forerunner Ventures,2016,inferred,0.3866,4.3838,0.10,22969570,US VC - Consumer,UTIMCO,2023-02-28
Forerunner Partners IV L.P.,Forerunner Ventures,2018,inferred,0.2856,1.9842,0.00,14337000,US VC - Consumer,UTIMCO,2023-02-28
Forerunner Partners V L.P.,Forerunner Ventures,2020,inferred,0.0111,1.0159,0.00,28764990,US VC - Consumer,UTIMCO,2023-02-28
Foundry Venture Capital 2007 L.P.,Foundry Group,2007,name,0.4284,5.0834,4.92,39400000,US VC - Early Stage,UTIMCO,2023-02-28
Foundry Venture Capital 2010 L.P.,Foundry Group,2010,name,0.1445,3.1413,1.11,43987500,US VC - Early Stage,UTIMCO,2023-02-28
Foundry Venture Capital 2013 L.P.,Foundry Group,2013,name,0.0452,1.4112,0.08,47623240,US VC - Early Stage,UTIMCO,2023-02-28
