investment_name,"initial_investment
date","capital
committed","paid-in
capital
a",unfunded_commitment,"current
market_value
b","capital
distributed_1
c_","total_value
b+c","total_value
multiple
b+c_a","gain_since
inception
b+c-a","net
irr_2",strategy_type,source,scraped_date,reporting_period
Corporate Finance/Buyout - Large,,,Contributions,Unfunded - Local,Adjusted Market Value,Distributions,,,,,Buyout,WSIB,2026-02-18,ir093024
"Advent International GPE VII-B, L.P.",8/27/2012,"400,000,000","384,020,122","16,000,020","44,295,946","651,657,497","695,953,443",1.8x,"311,933,321",13.23%,Buyout,WSIB,2026-02-18,ir093024
"Affinity Asia Pacific Fund V, L.P.",12/11/2018,"350,000,000","241,879,593","122,406,319","241,671,627","61,025,406","302,697,033",1.3x,"60,817,440",8.98%,Buyout,WSIB,2026-02-18,ir093024
"Apax Europe V-A, L.P.",4/19/2001,"111,912,000","144,302,068",-,-,"303,563,931","303,563,931",2.1x,"159,261,863",36.19%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VI, L.P.",8/4/1998,"35,302,451","27,651,447",-,-,"75,534,053","75,534,053",2.7x,"47,882,605",24.02%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VII, L.P.",4/25/2000,"108,149,740","108,149,740",-,"662,469","273,769,667","274,432,135",2.5x,"166,282,395",23.73%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VIII, L.P.",12/13/2005,"304,206,529","296,253,618","10,547,807","185,360","364,910,708","365,096,068",1.2x,"68,842,450",4.46%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners Asia II, L.P.",11/21/2022,"250,000,000","75,396,304","176,149,058","106,600,658","3,043,800","109,644,458",1.5x,"34,248,154",34.26%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe III, L.P.",12/6/2005,"134,939,372","127,746,676","4,468,825","3,840,497","152,285,161","156,125,658",1.2x,"28,378,981",2.40%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe IV, L.P.",11/14/2008,"193,979,121","190,616,097","10,122,635","30,909,114","267,032,220","297,941,334",1.6x,"107,325,237",9.33%,Buyout,WSIB,2026-02-18,ir093024
